h [H]
h2 [H][H]
o [O]
o2 [O][O]
oh [OH]
h2o O
n2 N#N
ho2 O[O]
h2o2 OO
ar [Ar]
co2 O=C=O
ch2o C=O
hco O=[CH]
ch3 [CH3]
ch2 [CH2]
ch [CH]
c [C]
ch4 C
ch2(s) [CH2]
c2h6 CC
c2h5 C[CH2]
c2h4 C=C
c2h2 C#C
c3ket21 CC(=O)COO
ch3cho CC=O
co	[C]=O
c2h	[C]#C
ch3oh	CO
c3h8	CCC
ch2oh	[CH2]O	! Confirmed by Anonymous
ch3o	C[O]	! Confirmed by Anonymous
nc3h7	[CH2]CC	! Confirmed by Anonymous
ic3h7	C[CH]C	! Confirmed by Anonymous
ch3co	C[C]=O	! Confirmed by Anonymous
c2h3	[CH]=C	! Confirmed by Anonymous
c3h6	C=CC	! Confirmed by Anonymous
c5h9o1-4	C=CCC(C)[O]	! Confirmed by Anonymous
c2h5oh	CCO	! Confirmed by Anonymous
c4h7o1-4	C=CCC[O]	! Confirmed by Anonymous
c6h12-1	C=CCCCC	! Confirmed by Anonymous
c4h8-1	C=CCC	! Confirmed by Anonymous
c6h13-2	C[CH]CCCC	! Confirmed by Anonymous
c4h10	CCCC	! Confirmed by Anonymous
nc6h14	CCCCCC	! Confirmed by Anonymous
c7h14-1	C=CCCCCC	! Confirmed by Anonymous
c6h13-3	CC[CH]CCC	! Confirmed by Anonymous
c6h13-1	[CH2]CCCCC	! Confirmed by Anonymous
c5h10-1	C=CCCC	! Confirmed by Anonymous
c7h15-2	C[CH]CCCCC	! Confirmed by Anonymous
c5h10cho-4	CCC[CH]CC=O	! Confirmed by Anonymous
nc7h16	CCCCCCC	! Confirmed by Anonymous
c7h15-3	CC[CH]CCCC	! Confirmed by Anonymous
c7h15-1	[CH2]CCCCCC	! Confirmed by Anonymous
c7h14-2	CC=CCCCC	! Confirmed by Anonymous
c7h14-3	CCC=CCCC	! Confirmed by Anonymous
c7h15-4	CCC[CH]CCC	! Confirmed by Anonymous
