// rate library for f31: cyclic ether formation reaction
// original from rate_library_4.txt, Cath, 03/07/28

// jing, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

//f31_intermolecular_HA

// Catherina Wijaya Thesis, pg 159.

812. 	RnOO 		Y_rad_intra 	300-1500 	1E+11 		0 	0 	10 	0 	0 	0 	0 	0	

//No.	RnOOH	 Y_rad_intra	Temp.	A	n	a	E0	A	Dn	Da	DE0	Rank	Comments
813.	R2OOH_S		C_pri_rad_intra	300-1500	3.98E+12	0	1.3	37.0	*1.20	0	0.3	3.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
814.	R2OOH_S		C_sec_rad_intra	300-1500	1.38E+12	0	1.3	37.0	*1.20	0	0.3	3.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
815.	R2OOH_S		C_ter_rad_intra	300-1500	3.09E+12	0	1.3	37.0	*1.20	0	0.3	3.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
816.	R3OOH_SS	C_pri_rad_intra	300-1500	4.47E+11	0	1.0	38.2	*1.74	0	0.1	3.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
817.	R3OOH_SS	C_sec_rad_intra	300-1500	2.04E+11	0	1.0	38.2	*1.74	0	0.1	3.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
818.	R3OOH_SS	C_ter_rad_intra	300-1500	3.31E+11	0	1.0	38.2	*1.74	0	0.1	3.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
819.	R4OOH_SSS	C_pri_rad_intra	300-1500	5.13E+10	0	0	14.8	*1.41	0	0	2.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
820.	R4OOH_SSS	C_sec_rad_intra	300-1500	3.63E+10	0	0	13.0	*1.41	0	0	2.5	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
821.	R4OOH_SSS	C_ter_rad_intra	300-1500	2.57E+10	0	0	11.5	*1.41	0	0	3.0	2	CBS-QB3 and BH&HLYP calculations (Catherina Wijaya & Sumathy Raman). Including treatment of hindered rotor.
822.	R2OOH_S		Cs_rad_intra	300-1500	6.00E+11	0	0	22.000	0	0	0	0	5	Curran's [8] estimation in reaction type 19, QOOH = cyclic ether + OH
