// The format for the data in this rate library
Arrhenius_EP

614   RnH                     Y_rad_out               XH_out                  300-1500       1.00e+10      0.00      0.00       25.00 0            0      0      0     0        default
615   R2H_S                   C_rad_out_single        Cs_H_out_2H             300-1500       5.48e+08      1.62      0.00       38.76 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
616   R2H_S                   C_rad_out_single        Cs_H_out_1H             300-1500       9.59e+08      1.39      0.00       39.70 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
617   R3H_SS                  C_rad_out_single        Cs_H_out_2H             300-1500       1.39e+09      0.98      0.00       33.76 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
618   R3H_SS                  C_rad_out_single        Cs_H_out_1H             300-1500       1.76e+09      0.76      0.00       34.70 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
619   R4H_SSS                 C_rad_out_single        Cs_H_out_2H             300-1500       2.54e+09      0.35      0.00       19.76 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
620   R4H_SSS                 C_rad_out_single        Cs_H_out_1H             300-1500       3.22e+09      0.13      0.00       20.70 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
621   R4H_SSS                 C_rad_out_single        Cs_H_out_noH            300-1500       1.86e+10      0.58      0.00       26.19 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
622   R5H_SSSS                C_rad_out_single        Cs_H_out_2H             300-1500       4.28e+11     -1.05      0.00       11.76 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
623   R5H_SSSS                C_rad_out_single        Cs_H_out_1H             300-1500       1.36e+10     -0.66      0.00       14.28 0            0      0      0     5        Currans's estimation [5] in his reaction type 5.
624   R4H_SSS                 O_rad_out               Cs_H_out_2H             300-1500       1.00e+11      0.00      0.00       29.40 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
625   R4H_SSS                 O_rad_out               Cs_H_out_1H             300-1500       1.00e+11      0.00      0.00       26.85 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
626   R4H_SSS                 O_rad_out               Cs_H_out_noH            300-1500       1.00e+11      0.00      0.00       24.10 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
627   R5H_SSSS                O_rad_out               Cs_H_out_2H             300-1500       1.25e+10      0.00      0.00       24.40 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
628   R5H_SSSS                O_rad_out               Cs_H_out_1H             300-1500       1.25e+10      0.00      0.00       20.85 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
629   R5H_SSSS                O_rad_out               Cs_H_out_noH            300-1500       1.25e+10      0.00      0.00       19.10 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
630   R6H_SSSSS               O_rad_out               Cs_H_out_2H             300-1500       1.56e+09      0.00      0.00       22.35 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
631   R6H_SSSSS               O_rad_out               Cs_H_out_1H             300-1500       1.56e+09      0.00      0.00       19.05 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
632   R6H_SSSSS               O_rad_out               Cs_H_out_noH            300-1500       1.56e+09      0.00      0.00       17.05 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
633   R7H                     O_rad_out               Cs_H_out_2H             300-1500       1.95e+08      0.00      0.00       25.55 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
634   R7H                     O_rad_out               Cs_H_out_1H             300-1500       1.95e+08      0.00      0.00       25.55 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
635   R7H                     O_rad_out               Cs_H_out_noH            300-1500       1.95e+08      0.00      0.00       25.55 0            0      0      0     5        Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
636   Others-R2H_S            C_rad_out_2H            Cs_H_out_2H             300-1500       4.45e+09      1.12      0.00       38.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
637   Others-R2H_S            C_rad_out_H/NonDeC      Cs_H_out_2H             300-1500       8.10e+08      1.32      0.00       40.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
638   Others-R2H_S            C_rad_out_2H            Cs_H_out_H/NonDeC       300-1500       9.69e+09      0.89      0.00       35.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
639   Others-R2H_S            Others-C_rad_out_Cs2    Cs_H_out_2H             300-1500       8.12e+07      1.66      0.00       40.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
640   Others-R2H_S            C_rad_out_2H            Others-Cs_H_out_Cs2     300-1500       4.04e+10      0.64      0.00       33.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
641   Others-R2H_S            Others-C_rad_out_Cs2    Others-Cs_H_out_Cs2     300-1500       1.28e+10      0.97      0.00       38.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
642   Others-R2H_S            C_rad_out_H/NonDeC      Cs_H_out_H/NonDeC       300-1500       3.38e+09      0.88      0.00       38.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
643   Others-R2H_S            C_rad_out_H/NonDeC      Others-Cs_H_out_Cs2     300-1500       7.25e+10      0.60      0.00       36.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
644   Others-R2H_S            Others-C_rad_out_Cs2    Cs_H_out_H/NonDeC       300-1500       1.12e+09      1.19      0.00       39.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
645   Others-R2H_S            Cd_rad_out_double       Cs_H_out_2H             300-1500       2.44e+09      1.12      0.00       41.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
646   Others-R2H_S            C_rad_out_2H            Cd_H_out_doubleC        300-1500       2.68e+11      0.63      0.00       62.20 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
647   Others-R2H_S            Cd_rad_out_double       Cs_H_out_H/OneDe        300-1500       7.24e+09      0.82      0.00       37.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
648   Others-R2H_S            C_rad_out_H/OneDe       Cd_H_out_doubleC        300-1500       9.38e+10      0.71      0.00       62.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
649   Others-R2H_S            Cd_rad_out_double       Cs_H_out_OneDe          300-1500       1.67e+10      0.79      0.00       35.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
650   Others-R2H_S            C_rad_out_OneDe/Cs      Cd_H_out_doubleC        300-1500       1.03e+09      1.31      0.00       62.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
651   Others-R2H_S            C_rad_out_H/OneDe       Cs_H_out_2H             300-1500       2.06e+09      1.22      0.00       47.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
652   Others-R2H_S            C_rad_out_2H            Cs_H_out_H/OneDe        300-1500       1.41e+08      1.28      0.00       27.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
653   Others-R2H_S            C_rad_out_H/OneDe       Cs_H_out_H/NonDeC       300-1500       3.45e+10      0.75      0.00       45.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
654   Others-R2H_S            C_rad_out_H/NonDeC      Cs_H_out_H/OneDe        300-1500       8.41e+09      0.35      0.00       29.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
655   Others-R2H_S            C_rad_out_H/OneDe       Others-Cs_H_out_Cs2     300-1500       1.01e+12      0.33      0.00       42.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
656   Others-R2H_S            Others-C_rad_out_Cs2    Cs_H_out_H/OneDe        300-1500       1.47e+08      1.27      0.00       30.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
657   Others-R2H_S            C_rad_out_OneDe/Cs      Cs_H_out_2H             300-1500       7.69e+08      1.31      0.00       48.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
658   Others-R2H_S            C_rad_out_2H            Cs_H_out_OneDe          300-1500       4.89e+09      0.81      0.00       25.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
659   Others-R2H_S            C_rad_out_OneDe/Cs      Cs_H_out_H/NonDeC       300-1500       2.13e+10      0.77      0.00       46.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
660   Others-R2H_S            C_rad_out_H/NonDeC      Cs_H_out_OneDe          300-1500       8.83e+10      0.30      0.00       29.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
661   Others-R2H_S            C_rad_out_OneDe/Cs      Others-Cs_H_out_Cs2     300-1500       3.62e+13     -0.14      0.00       44.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
662   Others-R2H_S            Others-C_rad_out_Cs2    Cs_H_out_OneDe          300-1500       8.20e+09      0.65      0.00       31.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
663   R2H_D                   Cd_rad_out_singleH      Cd_H_out_singleH        300-1500       7.28e+10      0.86      0.00       45.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
664   R2H_D                   Cd_rad_out_singleH      Cd_H_out_singleNd       300-1500       3.24e+11      0.73      0.00       42.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
665   R2H_D                   Cd_rad_out_singleNd     Cd_H_out_singleH        300-1500       1.62e+11      0.80      0.00       47.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
666   R2H_D                   Cd_rad_out_singleNd     Cd_H_out_singleNd       300-1500       3.94e+11      0.69      0.00       44.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
667   Others-R2H_S            C_rad_out_Cs2_cy3       Cs_H_out_2H             300-1500       4.58e+09      1.08      0.00       40.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
668   Others-R2H_S            C_rad_out_2H            Cs_H_out_Cs2_cy3        300-1500       1.14e+10      0.81      0.00       46.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
669   Others-R2H_S            C_rad_out_Cs2_cy3       Cs_H_out_H/NonDeC       300-1500       6.33e+10      0.65      0.00       38.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
670   Others-R2H_S            C_rad_out_H/NonDeC      Cs_H_out_Cs2_cy3        300-1500       2.74e+09      0.98      0.00       46.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
671   Others-R2H_S            C_rad_out_Cs2_cy3       Others-Cs_H_out_Cs2     300-1500       5.90e+11      0.36      0.00       35.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
672   Others-R2H_S            Others-C_rad_out_Cs2    Cs_H_out_Cs2_cy3        300-1500       1.44e+08      1.39      0.00       47.20 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
673   Others-R2H_S            C_rad_out_2H            Cs_H_out_Cs2_cy4        300-1500       9.75e+09      0.98      0.00       36.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
674   Others-R2H_S            C_rad_out_Cs2_cy4       Cs_H_out_2H             300-1500       7.44e+08      1.20      0.00       41.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
675   Others-R2H_S            C_rad_out_H/NonDeC      Cs_H_out_Cs2_cy4        300-1500       5.64e+09      1.00      0.00       38.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
676   Others-R2H_S            C_rad_out_Cs2_cy4       Cs_H_out_H/NonDeC       300-1500       6.56e+09      0.81      0.00       39.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
677   Others-R2H_S            Others-C_rad_out_Cs2    Cs_H_out_Cs2_cy4        300-1500       9.31e+08      1.21      0.00       38.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
678   Others-R2H_S            C_rad_out_Cs2_cy4       Others-Cs_H_out_Cs2     300-1500       4.86e+10      0.58      0.00       38.20 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
679   Others-R2H_S            C_rad_out_Cs2_cy5       Cs_H_out_2H             300-1500       1.07e+09      1.19      0.00       42.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
680   Others-R2H_S            C_rad_out_2H            Cs_H_out_Cs2_cy5        300-1500       3.35e+09      0.99      0.00       33.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
681   Others-R2H_S            C_rad_out_H/NonDeC      Cs_H_out_Cs2_cy5        300-1500       3.29e+09      0.89      0.00       36.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
682   Others-R2H_S            C_rad_out_Cs2_cy5       Cs_H_out_H/NonDeC       300-1500       1.08e+10      0.81      0.00       41.20 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
683   Others-R2H_S            Others-C_rad_out_Cs2    Cs_H_out_Cs2_cy5        300-1500       7.48e+07      1.45      0.00       37.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
684   Others-R2H_S            C_rad_out_Cs2_cy5       Others-Cs_H_out_Cs2     300-1500       1.24e+11      1.47      0.00       39.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
685   R2H_S_cy3               C_rad_out_H/NonDeC      Cs_H_out_H/NonDeC       300-1500       2.25e+11      0.60      0.00       44.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
