file,index,label,num_atoms,reference,WARNING
CHOBr_G4.py,0,Br[CH]OCC(Br)Br,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,1,CC(Br)(Br)C(Br)CBr,14,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,True
CHOBr_G4.py,2,[CH]DC(Br)Br,5,G4 / RRHO,False
CHOBr_G4.py,3,BrC[C](Br)COBr,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,4,CCOBr,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,5,[O]CC(Br)DCBr,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,6,BrCDCC(Br)CBr,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,7,OC(Br)(Br)CDCBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,8,BrCCDC(Br)C(Br)Br,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,9,BrOOC(Br)C(Br)Br,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,10,CC(Br)O[O],9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,11,CDCCD[C]Br,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,12,[O]C(Br)CBr,8,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,13,CC(Br)(Br)OCBr,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,14,BrC(Br)CC(Br)(Br)Br,11,G4 / RRHO,False
CHOBr_G4.py,15,O[C](CBr)C(Br)Br,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,16,BrC(Br)(Br)Br,5,G4 / RRHO,False
CHOBr_G4.py,17,[O]CC(DO)Br,7,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,18,ODCCOBr,8,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,19,C[CH]OCBr,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,20,COC[CH]Br,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,21,OC(Br)(Br)OBr,7,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,22,BrOCDCDC(Br)Br,8,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,23,CC(Br)(Br)CCBr,14,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,True
CHOBr_G4.py,24,ODCC(Br)(Br)OBr,8,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,25,Br[CH]CCDCBr,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,26,CC(Br)C[O],11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,27,Br[C](Br)CC(Br)Br,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,28,OC(Br)(Br)COBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,29,OD[C]C(O)Br,7,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,30,Br[CH]OCCBr,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,31,ODCDC(Br)C(Br)Br,8,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,32,BrCOOC(Br)Br,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,33,C[CH]CCBr,13,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,34,C[C](Br)CBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,35,BrCOC(Br)OBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,36,BrCC[C]DC(Br)Br,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,37,COOBr,7,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,38,OD[C]C(Br)(Br)CBr,9,G4 / RRHO,False
CHOBr_G4.py,39,CC(Br)OC(Br)(Br)Br,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,40,BrCCC(Br)(Br)CBr,14,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,True
CHOBr_G4.py,41,[CH2]CDCBr,8,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,42,BrOCC(Br)(Br)OBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,43,CDC(Br)OC,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,44,[O]C(O)CBr,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,45,CC(Br)C(Br)D[C]Br,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,46,CC(Br)C(Br)Br,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,47,OCCDC(Br)Br,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,48,CC(Br)(Br)CDO,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,49,ODCC(Br)Br,7,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,50,BrCO[C](Br)C(Br)Br,11,G4 / RRHO,False
CHOBr_G4.py,51,BrCCBr,8,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,52,CC(Br)DC(Br)OBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,53,[CH]DCCDCBr,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,54,CCC[C](Br)Br,13,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,55,CDC(Br)Br,6,G4 / RRHO,False
CHOBr_G4.py,56,Br[C]DC(Br)OBr,6,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,57,BrC#CC[C](Br)Br,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,58,BrCC(Br)(OBr)OBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,59,BrCOCBr,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,60,CC([CH]Br)OBr,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,61,CDC(Br)C(O)Br,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,62,[CH2]OCOBr,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,63,CDCCDCBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,64,OCO[C](Br)Br,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,65,OC(O)D[C]Br,7,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,66,[CH2]C(CBr)OBr,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,67,C[CH]CBr,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,68,OCC(Br)CBr,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,69,BrCOCC(Br)(Br)Br,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,70,OCDC(Br)[CH]Br,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,71,BrCDCC(Br)(Br)Br,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,72,[O]CCDCBr,9,G4 / RRHO,False
CHOBr_G4.py,73,Br[CH]C(Br)OOBr,9,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,74,OC(Br)C[CH]Br,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,75,CC(Br)CDO,10,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,76,BrCCCBr,11,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,77,CC(OBr)C(Br)Br,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
CHOBr_G4.py,78,CDC(Br)C(C)Br,12,G4 with m062xd3/jun-cc-pvtz 1D Hindered Rotor,False
